"","date","country","freq","rank"
"136",2021-02-01,"Myanmar",2877,1
"137",2021-02-01,"Philippines",773,5
"138",2021-02-01,"Singapore",707,6
"139",2021-02-01,"Thailand",775,4
"140",2021-02-01,"Vietnam",800,3
"141",2021-03-01,"Brunei",32,10
"142",2021-03-01,"Cambodia",299,8
"143",2021-03-01,"Indonesia",667,4
"144",2021-03-01,"Laos",63,9
"145",2021-03-01,"Malaysia",626,6
"146",2021-03-01,"Myanmar",1454,2
"147",2021-03-01,"Philippines",1596,1
"148",2021-03-01,"Singapore",578,7
"149",2021-03-01,"Thailand",707,3
"150",2021-03-01,"Vietnam",644,5
"151",2021-04-01,"Brunei",32,10
"152",2021-04-01,"Cambodia",362,8
"153",2021-04-01,"Indonesia",439,7
"154",2021-04-01,"Laos",74,9
"155",2021-04-01,"Malaysia",562,5
"156",2021-04-01,"Myanmar",1109,3
"157",2021-04-01,"Philippines",1326,1
"158",2021-04-01,"Singapore",891,4
"159",2021-04-01,"Thailand",1192,2
"160",2021-04-01,"Vietnam",521,6
"161",2021-05-01,"Brunei",50,10
"162",2021-05-01,"Cambodia",291,8
"163",2021-05-01,"Indonesia",580,7
"164",2021-05-01,"Laos",97,9
"165",2021-05-01,"Malaysia",2083,2
"166",2021-05-01,"Myanmar",780,6
"167",2021-05-01,"Philippines",975,5
"168",2021-05-01,"Singapore",2155,1
"169",2021-05-01,"Thailand",1264,3
"170",2021-05-01,"Vietnam",1087,4
"171",2021-06-01,"Brunei",17,10
"172",2021-06-01,"Cambodia",235,8
"173",2021-06-01,"Indonesia",1041,4
"174",2021-06-01,"Laos",56,9
"175",2021-06-01,"Malaysia",1737,1
"176",2021-06-01,"Myanmar",1168,3
"177",2021-06-01,"Philippines",963,6
"178",2021-06-01,"Singapore",1181,2
"179",2021-06-01,"Thailand",1033,5
"180",2021-06-01,"Vietnam",892,7
"181",2021-07-01,"Brunei",20,10
"182",2021-07-01,"Cambodia",218,8
"183",2021-07-01,"Indonesia",2182,2
"184",2021-07-01,"Laos",73,9
"185",2021-07-01,"Malaysia",2024,3
"186",2021-07-01,"Myanmar",9968,1
"187",2021-07-01,"Philippines",989,6
"188",2021-07-01,"Singapore",1206,5
"189",2021-07-01,"Thailand",1531,4
"190",2021-07-01,"Vietnam",903,7
