"","date","country","sentiment"
"113",2020-12-01,"Indonesia",0.0495068493150685
"114",2020-12-01,"Laos",0.132620689655172
"115",2020-12-01,"Malaysia",0.0896326194398682
"116",2020-12-01,"Myanmar",0.0513785310734463
"117",2020-12-01,"Philippines",0.0640602739726027
"118",2020-12-01,"Singapore",0.136162337662338
"119",2020-12-01,"Thailand",0.0609712418300654
"120",2020-12-01,"Vietnam",-0.0790792767732963
"121",2021-01-01,"Brunei",0.137296296296296
"122",2021-01-01,"Cambodia",0.0953157894736842
"123",2021-01-01,"Indonesia",0.0397484105358765
"124",2021-01-01,"Laos",0.130531914893617
"125",2021-01-01,"Malaysia",0.0813676360924683
"126",2021-01-01,"Myanmar",0.12607619047619
"127",2021-01-01,"Philippines",0.0491661129568106
"128",2021-01-01,"Singapore",0.0618097251585624
"129",2021-01-01,"Thailand",0.0620249584026622
"130",2021-01-01,"Vietnam",-0.00614942528735632
"131",2021-02-01,"Brunei",0.0828965517241379
"132",2021-02-01,"Cambodia",0.114738532110092
"133",2021-02-01,"Indonesia",0.0839495652173913
"134",2021-02-01,"Laos",0.132622641509434
"135",2021-02-01,"Malaysia",0.121654589371981
"136",2021-02-01,"Myanmar",-0.0522085505735141
"137",2021-02-01,"Philippines",0.0803415265200517
"138",2021-02-01,"Singapore",0.081963224893918
"139",2021-02-01,"Thailand",0.0968425806451613
"140",2021-02-01,"Vietnam",-0.0529925
"141",2021-03-01,"Brunei",0.146742857142857
"142",2021-03-01,"Cambodia",-0.0341270903010033
"143",2021-03-01,"Indonesia",0.0787346326836582
"144",2021-03-01,"Laos",0.132671875
"145",2021-03-01,"Malaysia",0.0924760383386582
"146",2021-03-01,"Myanmar",0
"147",2021-03-01,"Philippines",0
"148",2021-03-01,"Singapore",0.128313148788927
"149",2021-03-01,"Thailand",0.0474101838755304
"150",2021-03-01,"Vietnam",0
"151",2021-04-01,"Brunei",0.09325
"152",2021-04-01,"Cambodia",-0.0105552486187845
"153",2021-04-01,"Indonesia",0.0282141230068337
"154",2021-04-01,"Laos",0.0972077922077922
"155",2021-04-01,"Malaysia",0.0930320284697509
"156",2021-04-01,"Myanmar",-0.240477908025248
"157",2021-04-01,"Philippines",0
"158",2021-04-01,"Singapore",0.0986778900112233
"159",2021-04-01,"Thailand",0.0400956375838926
"160",2021-04-01,"Vietnam",0.0125220729366603
"161",2021-05-01,"Brunei",0.0826428571428571
"162",2021-05-01,"Cambodia",-0.0181752577319588
"163",2021-05-01,"Indonesia",0.036198275862069
"164",2021-05-01,"Laos",0.0224563106796117
"165",2021-05-01,"Malaysia",0.0521790686509842
"166",2021-05-01,"Myanmar",-0.240910256410256
"167",2021-05-01,"Philippines",0.0825087179487179
"168",2021-05-01,"Singapore",0
"169",2021-05-01,"Thailand",0.0331439873417722
"170",2021-05-01,"Vietnam",-0.0541030358785649
"171",2021-06-01,"Brunei",0.0713103448275862
"172",2021-06-01,"Cambodia",0.0300255319148936
"173",2021-06-01,"Indonesia",-0.0399903938520653
"174",2021-06-01,"Laos",0.10545
"175",2021-06-01,"Malaysia",0.0468382268278641
"176",2021-06-01,"Myanmar",-0.220246575342466
"177",2021-06-01,"Philippines",0.0850872274143302
"178",2021-06-01,"Singapore",0.0722624894157494
"179",2021-06-01,"Thailand",0.0325392061955469
"180",2021-06-01,"Vietnam",-0.0105336322869955
"181",2021-07-01,"Brunei",0.08564
"182",2021-07-01,"Cambodia",0.0219633027522936
"183",2021-07-01,"Indonesia",0
"184",2021-07-01,"Laos",0.0644
"185",2021-07-01,"Malaysia",0.0306704545454545
"186",2021-07-01,"Myanmar",-0.223302166934189
"187",2021-07-01,"Philippines",0.108509605662285
"188",2021-07-01,"Singapore",0.029665008291874
"189",2021-07-01,"Thailand",0
"190",2021-07-01,"Vietnam",-0.0449756367663344
